,name,Total,Total_0_4,Total_5_9,Total_10_14,Total_15_19,Total_20_24,Total_25_29,Total_30_34,Total_35_39,Total_40_44,Total_45_49,Total_50_54,Total_55_59,Total_60_64,Total_65_69,Total_70_74,Total_75_79,Total_80_84,Total_85up
79500US3603902,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, NY",137973.0,7874.0,9902.0,10374.0,7300.0,6602.0,8237.0,9266.0,8829.0,10091.0,9612.0,9782.0,8874.0,7890.0,7629.0,5088.0,4509.0,2640.0,3474.0
79500US3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA, NY",174606.0,11271.0,10185.0,9435.0,12100.0,11549.0,15591.0,12498.0,10146.0,10672.0,10960.0,12634.0,11348.0,12085.0,9551.0,5928.0,4011.0,2229.0,2413.0
79500US3604001,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, NY",162381.0,15145.0,9892.0,8771.0,6968.0,9378.0,22167.0,23745.0,16686.0,8824.0,7357.0,6372.0,5573.0,6226.0,4925.0,3561.0,3091.0,1512.0,2188.0
79500US3604002,"NYC-Brooklyn Community District 4--Bushwick PUMA, NY",121188.0,6493.0,5062.0,6065.0,5511.0,13320.0,21345.0,11901.0,9821.0,7817.0,5705.0,6585.0,6011.0,4755.0,3555.0,3934.0,1575.0,1118.0,615.0
79500US3604003,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, NY",155117.0,12632.0,9933.0,12263.0,9590.0,10556.0,18843.0,15508.0,12126.0,8387.0,8403.0,8590.0,7588.0,5381.0,5010.0,4276.0,3094.0,1851.0,1086.0
79500US3604004,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, NY",145843.0,9506.0,8174.0,7005.0,7039.0,8617.0,16409.0,17038.0,15689.0,12088.0,10395.0,6761.0,6157.0,6191.0,4731.0,3429.0,2875.0,1783.0,1956.0
79500US3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA, NY",116351.0,8959.0,6637.0,4407.0,5314.0,3342.0,11091.0,13472.0,11477.0,9631.0,8288.0,7168.0,7327.0,5435.0,4406.0,3590.0,2232.0,2205.0,1370.0
79500US3604006,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, NY",136367.0,9396.0,8518.0,6400.0,5792.0,9279.0,14853.0,16735.0,11553.0,7883.0,8466.0,7596.0,6086.0,6991.0,5444.0,4501.0,2774.0,2009.0,2091.0
79500US3604007,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, NY",122128.0,9582.0,7990.0,6847.0,5653.0,6749.0,12487.0,11396.0,9421.0,7062.0,7215.0,7359.0,8384.0,8533.0,4130.0,3797.0,2472.0,1729.0,1322.0
79500US3604008,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, NY",171170.0,14256.0,11699.0,13062.0,10571.0,11384.0,15202.0,10158.0,10763.0,11514.0,11497.0,12249.0,8366.0,9496.0,6222.0,4855.0,4591.0,1874.0,3411.0
79500US3604009,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, NY",195026.0,13093.0,11236.0,14057.0,11794.0,11262.0,10849.0,13205.0,13216.0,12755.0,11873.0,10818.0,13777.0,14146.0,11609.0,7895.0,5256.0,3891.0,4294.0
79500US3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA, NY",135931.0,6714.0,6215.0,8166.0,7533.0,8932.0,11447.0,9024.0,9201.0,10370.0,8502.0,10086.0,8999.0,8990.0,7063.0,5509.0,4746.0,2003.0,2431.0
79500US3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA, NY",111448.0,6195.0,5475.0,4740.0,7113.0,7102.0,15715.0,11700.0,7257.0,5095.0,6545.0,6491.0,5910.0,6073.0,4596.0,4638.0,3163.0,1748.0,1892.0
79500US3604012,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, NY",132875.0,11116.0,9815.0,9035.0,6333.0,6222.0,11263.0,14321.0,12081.0,9292.0,7799.0,7320.0,6942.0,6715.0,5750.0,2836.0,2852.0,1664.0,1519.0
79500US3604013,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, NY",125200.0,9350.0,6860.0,7532.0,6018.0,6617.0,7607.0,10062.0,8941.0,7310.0,7532.0,9642.0,7953.0,7460.0,5857.0,6214.0,3709.0,3249.0,3287.0
79500US3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA, NY",138570.0,16213.0,13699.0,13285.0,11039.0,9437.0,8464.0,8473.0,7586.0,6924.0,8733.0,5042.0,5581.0,6843.0,5890.0,3772.0,3199.0,2232.0,2158.0
79500US3604015,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, NY",154833.0,10931.0,8780.0,9951.0,8205.0,12472.0,12869.0,13308.0,10245.0,10387.0,8221.0,9302.0,9431.0,8210.0,7658.0,5477.0,4336.0,1590.0,3460.0
79500US3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA, NY",158213.0,9304.0,9464.0,9075.0,7804.0,8714.0,12665.0,9749.0,10210.0,10453.0,9436.0,8984.0,10834.0,10435.0,9351.0,8295.0,4620.0,4058.0,4762.0
79500US3604017,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, NY",186850.0,12303.0,11384.0,11077.0,8471.0,10882.0,13453.0,14807.0,12948.0,13030.0,12838.0,11415.0,13986.0,10855.0,9307.0,6115.0,5745.0,4718.0,3516.0
79500US3604018,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, NY",113339.0,5908.0,5362.0,6796.0,5832.0,4837.0,6905.0,6331.0,6726.0,5541.0,6017.0,6698.0,8423.0,8286.0,9772.0,6087.0,4880.0,4500.0,4438.0
79500US3604101,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, NY",160871.0,7232.0,6037.0,5993.0,5627.0,9676.0,24601.0,20576.0,15016.0,9922.0,8915.0,8636.0,9966.0,7228.0,8002.0,4577.0,3651.0,2646.0,2570.0
79500US3604102,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, NY",181787.0,13736.0,9810.0,11158.0,8998.0,9527.0,13118.0,16853.0,18428.0,17040.0,13237.0,10913.0,10540.0,7619.0,6347.0,5280.0,4189.0,2417.0,2577.0
79500US3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA, NY",239000.0,12577.0,11691.0,12607.0,10692.0,10600.0,17233.0,15604.0,13432.0,14471.0,17850.0,17707.0,16204.0,17108.0,14572.0,12633.0,8319.0,8288.0,7412.0
79500US3604104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA, NY",115744.0,5570.0,4568.0,6397.0,5711.0,4688.0,6625.0,6631.0,6989.0,8203.0,7919.0,10046.0,9687.0,8067.0,8100.0,6430.0,3603.0,3149.0,3361.0
79500US3604105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA, NY",187761.0,12992.0,8295.0,10044.0,9293.0,11147.0,12599.0,13353.0,12455.0,10467.0,10534.0,14769.0,13430.0,12874.0,10083.0,9771.0,6635.0,5232.0,3788.0
79500US3604106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA, NY",164615.0,12647.0,8257.0,9929.0,10666.0,11600.0,10040.0,11272.0,10608.0,9615.0,10162.0,9403.0,13122.0,11982.0,8602.0,6384.0,4690.0,3198.0,2438.0
79500US3604107,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, NY",150131.0,10291.0,8531.0,10299.0,9578.0,9947.0,13460.0,13257.0,12028.0,10364.0,10685.0,7802.0,8238.0,8737.0,5399.0,4552.0,2933.0,2014.0,2016.0
79500US3604108,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, NY",118105.0,6681.0,4952.0,3286.0,2587.0,4463.0,10971.0,8612.0,7927.0,7264.0,7579.0,6391.0,10614.0,9632.0,8272.0,6652.0,5496.0,3319.0,3407.0
79500US3604109,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, NY",137490.0,8564.0,6133.0,5698.0,5923.0,6654.0,14397.0,14495.0,14670.0,12496.0,8313.0,8255.0,8127.0,6404.0,4954.0,3952.0,4624.0,1948.0,1883.0
79500US3604110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA, NY",186441.0,11949.0,10591.0,13092.0,9233.0,9902.0,13857.0,15291.0,14716.0,11079.0,14659.0,13950.0,12500.0,11470.0,7460.0,5552.0,4251.0,2377.0,4512.0
79500US3604111,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, NY",139079.0,9515.0,7113.0,7423.0,7539.0,9777.0,11744.0,9333.0,9017.0,8903.0,9279.0,9595.0,11764.0,7939.0,5863.0,6466.0,3555.0,1624.0,2630.0
79500US3604112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA, NY",241539.0,14265.0,13758.0,15989.0,15447.0,15630.0,18392.0,15996.0,16305.0,15624.0,16205.0,16791.0,16872.0,15848.0,12258.0,8798.0,5619.0,3650.0,4092.0
79500US3604113,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, NY",128937.0,5657.0,5330.0,8007.0,6573.0,8528.0,11001.0,10397.0,4903.0,8159.0,8001.0,11168.0,10521.0,9893.0,6131.0,4453.0,4751.0,3305.0,2159.0
79500US3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA, NY",127676.0,9349.0,9667.0,11545.0,6911.0,8352.0,8800.0,7761.0,6017.0,7193.0,9837.0,9838.0,7775.0,6872.0,5155.0,4877.0,2585.0,2814.0,2328.0
