,name,Total,Family households,Family households:2-person household,Family households:3-person household,Family households:4-person household,Family households:5-person household,Family households:6-person household,Family households:7-or-more person household,Nonfamily households,Nonfamily households:1-person household,Nonfamily households:2-person household,Nonfamily households:3-person household,Nonfamily households:4-person household,Nonfamily households:5-person household,Nonfamily households:6-person household,Nonfamily households:7-or-more person household,Family households:1-person household,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US53033006000,"Census Tract 60, King, WA",2650.0,1234.0,671.0,269.0,264.0,14.0,0.0,16.0,1416.0,790.0,562.0,28.0,36.0,0.0,0.0,0.0,0,790.0,1233.0,297.0,300.0,14.0,0.0,16.0
14000US53033006100,"Census Tract 61, King, WA",2962.0,1107.0,636.0,357.0,114.0,0.0,0.0,0.0,1855.0,1311.0,498.0,46.0,0.0,0.0,0.0,0.0,0,1311.0,1134.0,403.0,114.0,0.0,0.0,0.0
14000US53033006200,"Census Tract 62, King, WA",1665.0,1235.0,564.0,301.0,299.0,54.0,17.0,0.0,430.0,243.0,90.0,0.0,71.0,3.0,8.0,15.0,0,243.0,654.0,301.0,370.0,57.0,25.0,15.0
14000US53033006300,"Census Tract 63, King, WA",2705.0,1453.0,765.0,247.0,286.0,101.0,54.0,0.0,1252.0,914.0,296.0,42.0,0.0,0.0,0.0,0.0,0,914.0,1061.0,289.0,286.0,101.0,54.0,0.0
14000US53033006400,"Census Tract 64, King, WA",1369.0,911.0,365.0,256.0,210.0,70.0,0.0,10.0,458.0,257.0,122.0,46.0,33.0,0.0,0.0,0.0,0,257.0,487.0,302.0,243.0,70.0,0.0,10.0
14000US53033006500,"Census Tract 65, King, WA",2560.0,1080.0,592.0,183.0,252.0,53.0,0.0,0.0,1480.0,1076.0,370.0,34.0,0.0,0.0,0.0,0.0,0,1076.0,962.0,217.0,252.0,53.0,0.0,0.0
14000US53033006600,"Census Tract 66, King, WA",2341.0,665.0,467.0,177.0,0.0,21.0,0.0,0.0,1676.0,998.0,601.0,14.0,63.0,0.0,0.0,0.0,0,998.0,1068.0,191.0,63.0,21.0,0.0,0.0
14000US53033006700,"Census Tract 67, King, WA",5115.0,1994.0,1268.0,607.0,117.0,2.0,0.0,0.0,3121.0,1864.0,1230.0,27.0,0.0,0.0,0.0,0.0,0,1864.0,2498.0,634.0,117.0,2.0,0.0,0.0
14000US53033006800,"Census Tract 68, King, WA",1442.0,799.0,287.0,232.0,214.0,59.0,0.0,7.0,643.0,440.0,178.0,25.0,0.0,0.0,0.0,0.0,0,440.0,465.0,257.0,214.0,59.0,0.0,7.0
14000US53033006900,"Census Tract 69, King, WA",2313.0,1380.0,720.0,298.0,284.0,78.0,0.0,0.0,933.0,661.0,263.0,1.0,0.0,8.0,0.0,0.0,0,661.0,983.0,299.0,284.0,86.0,0.0,0.0
14000US53033007000,"Census Tract 70, King, WA",5104.0,1106.0,857.0,119.0,89.0,0.0,0.0,41.0,3998.0,3351.0,647.0,0.0,0.0,0.0,0.0,0.0,0,3351.0,1504.0,119.0,89.0,0.0,0.0,41.0
14000US53033007100,"Census Tract 71, King, WA",3222.0,930.0,685.0,229.0,16.0,0.0,0.0,0.0,2292.0,1857.0,435.0,0.0,0.0,0.0,0.0,0.0,0,1857.0,1120.0,229.0,16.0,0.0,0.0,0.0
14000US53033007200,"Census Tract 72, King, WA",6672.0,1689.0,1343.0,205.0,96.0,45.0,0.0,0.0,4983.0,4001.0,878.0,49.0,0.0,55.0,0.0,0.0,0,4001.0,2221.0,254.0,96.0,100.0,0.0,0.0
14000US53033007300,"Census Tract 73, King, WA",4850.0,1063.0,895.0,51.0,117.0,0.0,0.0,0.0,3787.0,2979.0,773.0,35.0,0.0,0.0,0.0,0.0,0,2979.0,1668.0,86.0,117.0,0.0,0.0,0.0
14000US53033007401,"Census Tract 74.01, King, WA",3842.0,623.0,495.0,48.0,76.0,4.0,0.0,0.0,3219.0,2521.0,662.0,36.0,0.0,0.0,0.0,0.0,0,2521.0,1157.0,84.0,76.0,4.0,0.0,0.0
14000US53033007402,"Census Tract 74.02, King, WA",3699.0,521.0,407.0,0.0,30.0,84.0,0.0,0.0,3178.0,2444.0,615.0,119.0,0.0,0.0,0.0,0.0,0,2444.0,1022.0,119.0,30.0,84.0,0.0,0.0
14000US53033007500,"Census Tract 75, King, WA",6221.0,1236.0,836.0,344.0,56.0,0.0,0.0,0.0,4985.0,3832.0,1075.0,78.0,0.0,0.0,0.0,0.0,0,3832.0,1911.0,422.0,56.0,0.0,0.0,0.0
14000US53033007600,"Census Tract 76, King, WA",2273.0,700.0,324.0,239.0,117.0,20.0,0.0,0.0,1573.0,1030.0,445.0,70.0,0.0,0.0,16.0,12.0,0,1030.0,769.0,309.0,117.0,20.0,16.0,12.0
