,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US41013950300,"Census Tract 9503, Crook, OR",2649.0,647.0,1200.0,183.0,288.0,205.0,29.0,97.0
14000US41013950400,"Census Tract 9504, Crook, OR",1790.0,445.0,921.0,114.0,173.0,62.0,31.0,44.0
14000US41015950100,"Census Tract 9501, Curry, OR",1382.0,487.0,669.0,211.0,11.0,4.0,0.0,0.0
14000US41015950200,"Census Tract 9502, Curry, OR",2486.0,801.0,1031.0,292.0,199.0,67.0,16.0,80.0
14000US41015950301,"Census Tract 9503.01, Curry, OR",2000.0,461.0,1001.0,341.0,144.0,43.0,0.0,10.0
14000US41015950302,"Census Tract 9503.02, Curry, OR",2072.0,730.0,850.0,336.0,69.0,49.0,24.0,14.0
14000US41015950400,"Census Tract 9504, Curry, OR",2500.0,1083.0,992.0,237.0,114.0,58.0,13.0,3.0
14000US41015990101,"Census Tract 9901.01, Curry, OR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000US41017000100,"Census Tract 1, Deschutes, OR",741.0,133.0,378.0,122.0,79.0,25.0,4.0,0.0
14000US41017000200,"Census Tract 2, Deschutes, OR",2190.0,573.0,1125.0,239.0,192.0,41.0,13.0,7.0
14000US41017000300,"Census Tract 3, Deschutes, OR",3507.0,596.0,1857.0,496.0,229.0,202.0,23.0,104.0
14000US41017000401,"Census Tract 4.01, Deschutes, OR",2065.0,413.0,899.0,362.0,221.0,118.0,43.0,9.0
14000US41017000402,"Census Tract 4.02, Deschutes, OR",1052.0,222.0,547.0,127.0,95.0,46.0,15.0,0.0
14000US41017000500,"Census Tract 5, Deschutes, OR",2789.0,735.0,1474.0,229.0,190.0,106.0,33.0,22.0
14000US41017000600,"Census Tract 6, Deschutes, OR",3259.0,541.0,2011.0,336.0,228.0,118.0,0.0,25.0
14000US41017000700,"Census Tract 7, Deschutes, OR",2855.0,604.0,1209.0,286.0,490.0,168.0,13.0,85.0
14000US41017000800,"Census Tract 8, Deschutes, OR",2834.0,683.0,1151.0,441.0,294.0,191.0,74.0,0.0
14000US41017000900,"Census Tract 9, Deschutes, OR",3013.0,1093.0,732.0,490.0,498.0,117.0,45.0,38.0
14000US41017001001,"Census Tract 10.01, Deschutes, OR",5467.0,1057.0,2205.0,1087.0,728.0,241.0,54.0,95.0
14000US41017001002,"Census Tract 10.02, Deschutes, OR",942.0,197.0,446.0,97.0,136.0,49.0,17.0,0.0
14000US41017001100,"Census Tract 11, Deschutes, OR",4429.0,787.0,1857.0,742.0,741.0,276.0,26.0,0.0
14000US41017001200,"Census Tract 12, Deschutes, OR",2909.0,511.0,1203.0,604.0,395.0,156.0,25.0,15.0
14000US41017001300,"Census Tract 13, Deschutes, OR",5359.0,1037.0,2590.0,868.0,524.0,202.0,138.0,0.0
14000US41017001400,"Census Tract 14, Deschutes, OR",2729.0,681.0,1227.0,321.0,448.0,28.0,24.0,0.0
14000US41017001500,"Census Tract 15, Deschutes, OR",2817.0,988.0,1057.0,372.0,367.0,28.0,5.0,0.0
14000US41017001600,"Census Tract 16, Deschutes, OR",2810.0,1325.0,759.0,399.0,190.0,32.0,54.0,51.0
14000US41017001700,"Census Tract 17, Deschutes, OR",3567.0,1172.0,1015.0,693.0,462.0,209.0,16.0,0.0
14000US41017001800,"Census Tract 18, Deschutes, OR",4153.0,1533.0,1561.0,619.0,202.0,155.0,66.0,17.0
14000US41017001901,"Census Tract 19.01, Deschutes, OR",701.0,58.0,342.0,112.0,130.0,27.0,32.0,0.0
14000US41017001902,"Census Tract 19.02, Deschutes, OR",4080.0,920.0,1589.0,777.0,553.0,141.0,74.0,26.0
14000US41017002000,"Census Tract 20, Deschutes, OR",3275.0,647.0,1591.0,422.0,377.0,217.0,21.0,0.0
14000US41017002100,"Census Tract 21, Deschutes, OR",4928.0,1137.0,2008.0,846.0,518.0,316.0,80.0,23.0
14000US41019010000,"Census Tract 100, Douglas, OR",1064.0,318.0,426.0,194.0,47.0,57.0,22.0,0.0
14000US41019020000,"Census Tract 200, Douglas, OR",1420.0,396.0,626.0,135.0,154.0,87.0,22.0,0.0
14000US41019030000,"Census Tract 300, Douglas, OR",1594.0,444.0,701.0,146.0,200.0,78.0,6.0,19.0
14000US41019040000,"Census Tract 400, Douglas, OR",1139.0,339.0,520.0,105.0,114.0,53.0,0.0,8.0
14000US41019050001,"Census Tract 500.01, Douglas, OR",1876.0,382.0,979.0,191.0,118.0,108.0,54.0,44.0
14000US41019050002,"Census Tract 500.02, Douglas, OR",2823.0,914.0,936.0,433.0,173.0,254.0,58.0,55.0
14000US41019060000,"Census Tract 600, Douglas, OR",1469.0,209.0,850.0,170.0,112.0,81.0,17.0,30.0
14000US41019070000,"Census Tract 700, Douglas, OR",1931.0,294.0,1104.0,214.0,189.0,86.0,36.0,8.0
14000US41019080000,"Census Tract 800, Douglas, OR",3344.0,993.0,1418.0,381.0,341.0,169.0,21.0,21.0
14000US41019090000,"Census Tract 900, Douglas, OR",2778.0,726.0,1175.0,314.0,351.0,137.0,22.0,53.0
14000US41019100000,"Census Tract 1000, Douglas, OR",1180.0,296.0,496.0,256.0,89.0,16.0,27.0,0.0
14000US41019110000,"Census Tract 1100, Douglas, OR",1196.0,200.0,650.0,126.0,143.0,30.0,28.0,19.0
14000US41019120000,"Census Tract 1200, Douglas, OR",3362.0,1223.0,1271.0,380.0,317.0,53.0,46.0,72.0
14000US41019130000,"Census Tract 1300, Douglas, OR",2345.0,862.0,1006.0,188.0,102.0,39.0,122.0,26.0
14000US41019140000,"Census Tract 1400, Douglas, OR",2507.0,1184.0,674.0,249.0,152.0,104.0,46.0,98.0
14000US41019150000,"Census Tract 1500, Douglas, OR",2822.0,454.0,1148.0,697.0,214.0,177.0,66.0,66.0
14000US41019160000,"Census Tract 1600, Douglas, OR",3299.0,1055.0,1119.0,448.0,384.0,108.0,87.0,98.0
14000US41019170000,"Census Tract 1700, Douglas, OR",1371.0,211.0,600.0,168.0,309.0,59.0,16.0,8.0
14000US41019180000,"Census Tract 1800, Douglas, OR",1618.0,339.0,603.0,349.0,174.0,99.0,21.0,33.0
14000US41019190000,"Census Tract 1900, Douglas, OR",1878.0,441.0,671.0,409.0,214.0,73.0,59.0,11.0
14000US41019200000,"Census Tract 2000, Douglas, OR",2061.0,595.0,786.0,303.0,171.0,92.0,52.0,62.0
14000US41019210000,"Census Tract 2100, Douglas, OR",1949.0,502.0,1003.0,236.0,98.0,75.0,33.0,2.0
14000US41019990000,"Census Tract 9900, Douglas, OR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000US41021960100,"Census Tract 9601, Gilliam, OR",848.0,280.0,313.0,110.0,88.0,33.0,19.0,5.0
14000US41023960100,"Census Tract 9601, Grant, OR",811.0,297.0,342.0,64.0,63.0,14.0,24.0,7.0
14000US41023960200,"Census Tract 9602, Grant, OR",2483.0,790.0,1101.0,213.0,203.0,114.0,43.0,19.0
14000US41025960100,"Census Tract 9601, Harney, OR",2329.0,511.0,1099.0,294.0,214.0,167.0,44.0,0.0
14000US41025960200,"Census Tract 9602, Harney, OR",828.0,186.0,385.0,92.0,96.0,36.0,25.0,8.0
14000US41027950100,"Census Tract 9501, Hood River, OR",1361.0,273.0,499.0,136.0,267.0,95.0,39.0,52.0
14000US41027950200,"Census Tract 9502, Hood River, OR",2819.0,732.0,1265.0,393.0,224.0,172.0,33.0,0.0
14000US41027950300,"Census Tract 9503, Hood River, OR",2602.0,949.0,802.0,485.0,224.0,113.0,22.0,7.0
14000US41027950400,"Census Tract 9504, Hood River, OR",1757.0,351.0,481.0,347.0,254.0,221.0,62.0,41.0
