,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
79500US3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA, NY",59449.0,15293.0,17819.0,11526.0,7153.0,4165.0,2150.0,1343.0
79500US3604017,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, NY",64432.0,14074.0,15148.0,13262.0,11604.0,5729.0,2576.0,2039.0
79500US3604018,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, NY",46661.0,14888.0,16253.0,6747.0,4105.0,2213.0,1486.0,969.0
79500US3604101,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, NY",71537.0,25977.0,25125.0,9720.0,6666.0,2980.0,463.0,606.0
79500US3604102,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, NY",56617.0,11483.0,15136.0,11067.0,8914.0,5036.0,2967.0,2014.0
79500US3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA, NY",86010.0,21186.0,26822.0,14330.0,14993.0,5449.0,1832.0,1398.0
79500US3604104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA, NY",42677.0,9497.0,14620.0,7673.0,6895.0,2605.0,872.0,515.0
79500US3604105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA, NY",58357.0,12803.0,14939.0,10855.0,10351.0,5126.0,2142.0,2141.0
79500US3604106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA, NY",54993.0,11280.0,17972.0,10048.0,7752.0,4444.0,2133.0,1364.0
79500US3604107,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, NY",45624.0,7797.0,12244.0,8110.0,9313.0,4187.0,2376.0,1597.0
79500US3604108,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, NY",54271.0,18745.0,19966.0,8900.0,4460.0,1611.0,420.0,169.0
79500US3604109,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, NY",54443.0,16850.0,17198.0,8757.0,6088.0,3681.0,1228.0,641.0
79500US3604110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA, NY",63534.0,12862.0,17834.0,13620.0,11798.0,4802.0,1694.0,924.0
79500US3604111,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, NY",43427.0,8652.0,10267.0,8819.0,7922.0,4210.0,2004.0,1553.0
79500US3604112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA, NY",76114.0,18123.0,17362.0,16642.0,11166.0,7632.0,2350.0,2839.0
79500US3604113,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, NY",39389.0,7548.0,10260.0,7115.0,6966.0,3473.0,2133.0,1894.0
79500US3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA, NY",41184.0,10124.0,11376.0,8090.0,4675.0,3232.0,1973.0,1714.0
